Title,Image_1,Image_2,Image_3,Image_4,objects,obj_len,cap2,cap3,cap4,cap2_len,cap3_len,cap4_len
Phlebotomists,https://www.bls.gov/ooh/images/15411.jpg,https://www.bls.gov/ooh/images/15413.jpg,https://www.bls.gov/ooh/images/15414.jpg,https://www.bls.gov/ooh/images/15410.jpg,"['Human hand', 'Human ear', 'Human nose', 'Tire', 'Jacket', 'Couch', 'Table', 'Clothing', 'Tableware', 'Human mouth', 'Drink', 'Chair', 'Human face', 'Curtain', 'Flower', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Vehicle', 'Medical equipment', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Man', 'Window', 'Wine glass', 'Human body', 'Land vehicle', 'Kitchen appliance', 'Bottle', 'Woman', 'Car', 'Human hair', 'Microphone']",42,Phlebotomists talk with patients and donors so they are less nervous about having their blood drawn.,"Phlebotomists work mainly in hospitals, medical and diagnostic laboratories, and doctor’s offices.",Many employers look for phlebotomists who have completed some kind of professional certification.,16,12,13
Photographers,https://www.bls.gov/ooh/images/15631.jpg,https://www.bls.gov/ooh/images/2371.jpg,https://www.bls.gov/ooh/images/2372.jpg,https://www.bls.gov/ooh/images/2373.jpg,"['Human hand', 'Human ear', 'Human nose', 'Helmet', 'Tire', 'Jacket', 'Suitcase', 'Clothing', 'Human mouth', 'Suit', 'Dumbbell', 'Jet ski', 'Skateboard', 'Shirt', 'Toy', 'Coat', 'Computer monitor', 'Luggage and bags', 'Weapon', 'Human face', 'Swim cap', 'Doll', 'Camera', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Binoculars', 'Human eye', 'Boat', 'Headphones', 'Vehicle', 'Furniture', 'Wheel', 'Dress', 'Mammal', 'Mobile phone', 'Boy', 'Poster', 'Jeans', 'Man', 'Watercraft', 'Girl', 'Aircraft', 'Hat', 'Sports uniform', 'Auto part', 'Sports equipment', 'Human body', 'Land vehicle', 'Glasses', 'Bottle', 'Woman', 'Rifle', 'Car', 'Trousers', 'Human hair', 'Microphone']",60,Photographers capture subjects in commercial-quality photographs.,Most photographers stand or walk for long periods while carrying heavy equipment.,Portrait photographers take pictures of individuals or groups of people and usually work in their own studios.,6,12,17
Physical Therapist Assistants and Aides,https://www.bls.gov/ooh/images/15416.jpg,https://www.bls.gov/ooh/images/2573.jpg,https://www.bls.gov/ooh/images/2574.jpg,https://www.bls.gov/ooh/images/2576.jpg,"['Animal', 'Office building', 'Plumbing fixture', 'Human hand', 'Book', 'Human nose', 'Swimwear', 'Teddy bear', 'Jacket', 'Shorts', 'Table', 'Clothing', 'Desk', 'Suit', 'Baseball glove', 'Chair', 'Skirt', 'Shirt', 'Toy', 'Computer monitor', 'Tripod', 'Human face', 'Training bench', 'Bicycle', 'Boot', 'House', 'Human head', 'Human leg', 'Musical instrument', 'Dog', 'Person', 'Pen', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Swimming pool', 'Miniskirt', 'Furniture', 'Flowerpot', 'Wheel', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Tiara', 'Poster', 'Man', 'Stool', 'Drum', 'Jeans', 'Glove', 'Stationary bicycle', 'Home appliance', 'Treadmill', 'Building', 'Vehicle', 'Tap', 'Fish', 'Sports uniform', 'Sports equipment', 'Auto part', 'Human body', 'Plant', 'Glasses', 'Land vehicle', 'Kitchen appliance', 'Woman', 'Shelf', 'Crown', 'Car', 'Trousers', 'Human hair', 'Tree', 'Office supplies']",75,Physical therapist assistants help patients do specific exercises as part of the plan of care.,"Physical therapist assistants give therapy through exercise, stretching, and other interventions.",Physical therapist assistants gain hands-on experience during supervised clinical work.,15,11,10
Physical Therapists,https://www.bls.gov/ooh/images/15418.jpg,https://www.bls.gov/ooh/images/2433.jpg,https://www.bls.gov/ooh/images/3554.jpg,https://www.bls.gov/ooh/images/3555.jpg,"['Office building', 'Human hand', 'Human nose', 'Swimwear', 'Door', 'Couch', 'Table', 'Clothing', 'Human mouth', 'Desk', 'Skull', 'Chair', 'Skateboard', 'Shirt', 'Toy', 'Luggage and bags', 'Human face', 'Flower', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Vehicle', 'Wheel', 'Medical equipment', 'Mammal', 'Stool', 'Boy', 'Jeans', 'Poster', 'Man', 'Girl', 'Lifejacket', 'Sock', 'Food', 'Glove', 'Tennis ball', 'Window', 'Wheelchair', 'Paddle', 'Fruit', 'Sports uniform', 'Picture frame', 'Sports equipment', 'Land vehicle', 'Human body', 'Glasses', 'Ball', 'Woman', 'Trousers', 'Human hair', 'Office supplies']",57,Physical therapists evaluate and record a patient’s progress.,Physical therapists use exercises and stretching maneuvers to ease patients&apos; pain.,"Physical therapists use a variety of techniques, such as massage and stretching, to treat patients.",8,11,15
Physician Assistants,https://www.bls.gov/ooh/images/15420.jpg,https://www.bls.gov/ooh/images/2411.jpg,https://www.bls.gov/ooh/images/2412.jpg,https://www.bls.gov/ooh/images/2414.jpg,"['Toothbrush', 'Tie', 'Sunglasses', 'Human ear', 'Book', 'Human nose', 'Human hand', 'Swimwear', 'Drinking straw', 'Whisk', 'Couch', 'Infant bed', 'Table', 'Clothing', 'Tableware', 'Kitchen utensil', 'Spatula', 'Human mouth', 'Suit', 'Chair', 'Skateboard', 'Shirt', 'Watch', 'Human face', 'House', 'Cabinetry', 'Human head', 'Human leg', 'Person', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Headphones', 'Furniture', 'Vehicle', 'Medical equipment', 'Wheel', 'Mammal', 'Girl', 'Mobile phone', 'Poster', 'Boy', 'Man', 'Pillow', 'Goggles', 'Jeans', 'Fork', 'Kitchen knife', 'Chopsticks', 'Spoon', 'Bed', 'Picture frame', 'Lipstick', 'Human body', 'Land vehicle', 'Glasses', 'Kitchen appliance', 'Woman', 'Car', 'Sofa bed', 'Human hair', 'Office supplies']",63,"Physician assistants work in all areas of medicine, including primary care and family medicine, emergency medicine, and psychiatry.","Many physician assistants work in primary care specialties, such as general internal medicine, pediatrics, and family medicine.","Physician assistants often treat minor injuries, instruct and counsel patients, and order or carry out therapy.",18,17,16
Physicians and Surgeons,https://www.bls.gov/ooh/images/15422.jpg,https://www.bls.gov/ooh/images/2405.jpg,https://www.bls.gov/ooh/images/2407.jpg,https://www.bls.gov/ooh/images/2408.jpg,"['Toothbrush', 'Shower', 'Office building', 'Sunglasses', 'Human hand', 'Book', 'Human ear', 'Helmet', 'Television', 'Human nose', 'Whiteboard', 'Jacket', 'Mirror', 'Table', 'Clothing', 'Tableware', 'Bathroom accessory', 'Desk', 'Suit', 'Skull', 'Human mouth', 'Chair', 'Shirt', 'Coat', 'Toy', 'Computer monitor', 'Plate', 'Human face', 'Cabinetry', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Surfboard', 'Headphones', 'Furniture', 'Vehicle', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Poster', 'Man', 'Tablet computer', 'Bowl', 'Goggles', 'Food', 'Home appliance', 'Window', 'Tap', 'Sports uniform', 'Hat', 'Picture frame', 'Microwave oven', 'Sports equipment', 'Auto part', 'Human body', 'Kitchen appliance', 'Glasses', 'Land vehicle', 'Drawer', 'Woman', 'Sculpture', 'Human hair', 'Light bulb', 'Laptop', 'Plumbing fixture', 'Office supplies']",74,"Physicians often work closely with other healthcare staff including physician assistants, registered nurses, and medical records and health information technicians.",Surgeons and anesthesiologists usually work in a sterile environment and must follow protocol to maintain it during procedures.,"Physicians and surgeons may work in a medical specialty, such as cardiology, dermatology, pathology, or radiology.",20,18,16
Physicists and Astronomers,https://www.bls.gov/ooh/images/15542.jpg,https://www.bls.gov/ooh/images/2003.jpg,https://www.bls.gov/ooh/images/2004.jpg,https://www.bls.gov/ooh/images/2006.jpg,"['Sunglasses', 'Human hand', 'Book', 'Table', 'Clothing', 'Desk', 'Tower', 'Marine mammal', 'Bread', 'Human arm', 'Fashion accessory', 'Boat', 'Parachute', 'Poster', 'Man', 'Goggles', 'Umbrella', 'Fish', 'Auto part', 'Human body', 'Human hair', 'Tree', 'Human ear', 'Human nose', 'Invertebrate', 'Whiteboard', 'Bat', 'Balloon', 'Reptile', 'Weapon', 'Flower', 'Insect', 'Human eye', 'Furniture', 'Medical equipment', 'Girl', 'Window', 'Aircraft', 'Guitar', 'Kitchen appliance', 'Land vehicle', 'Glasses', 'Woman', 'Rifle', 'Flag', 'Animal', 'Tool', 'Elephant', 'Tire', 'Jacket', 'Whale', 'Window blind', 'Crocodile', 'Human mouth', 'Suit', 'Drink', 'Street light', 'Shirt', 'Toy', 'Tripod', 'Human face', 'Marine invertebrates', 'Human head', 'Musical instrument', 'Surfboard', 'Rays and skates', 'Ostrich', 'Mammal', 'Mobile phone', 'Stationary bicycle', 'Watercraft', 'Dinosaur', 'Picture frame', 'Bowling equipment', 'Shotgun', 'Sculpture', 'Microphone', 'Office supplies', 'Office building', 'Coffeemaker', 'Mirror', 'Bird', 'Skull', 'Tent', 'Skateboard', 'Stairs', 'Curtain', 'House', 'Camera', 'Person', 'Drill', 'Swimming pool', 'Handgun', 'Vehicle', 'Wheel', 'Boy', 'Lamp', 'Food', 'Home appliance', 'Building', 'Cosmetics', 'Fountain', 'Plant', 'Skyscraper', 'Shelf', 'Car', 'Laptop', 'Jellyfish', 'Airplane']",109,Physicists plan and conduct scientific experiments and studies to test theories and to discover properties of matter and energy.,Some astronomers work away from home temporarily at national or international facilities that have unique equipment.,"Astronomers study planets, stars, galaxies, and other celestial bodies.",19,16,9
"Plumbers, Pipefitters, and Steamfitters",https://www.bls.gov/ooh/images/2930.jpg,https://www.bls.gov/ooh/images/2932.jpg,https://www.bls.gov/ooh/images/2934.jpg,https://www.bls.gov/ooh/images/2935.jpg,"['Ladder', 'Sunglasses', 'Human hand', 'Book', 'Cannon', 'Door', 'Couch', 'Table', 'Clothing', 'Spatula', 'Bicycle', 'Cabinetry', 'Human arm', 'Fashion accessory', 'Poster', 'Man', 'Goggles', 'Chopsticks', 'Wine glass', 'Sports uniform', 'Auto part', 'Sports equipment', 'Human body', 'Syringe', 'Human hair', 'Knife', 'Human ear', 'Human nose', 'Cart', 'Weapon', 'Flower', 'Furniture', 'Medical equipment', 'Girl', 'Sewing machine', 'Fork', 'Window', 'Aircraft', 'Rocket', 'Bicycle wheel', 'Flute', 'Box', 'Tap', 'Bookcase', 'Land vehicle', 'Glasses', 'Kitchen appliance', 'Woman', 'Rifle', 'Drum', 'Tool', 'Door handle', 'Drinking straw', 'Tire', 'Jacket', 'Sword', 'Screwdriver', 'Organ', 'Suit', 'Drink', 'Wine rack', 'Shirt', 'Toy', 'Flashlight', 'Human face', 'Human head', 'Human leg', 'Musical instrument', 'Pen', 'Mammal', 'Wine', 'Hat', 'Scissors', 'Bottle', 'Bowling equipment', 'Shotgun', 'Sculpture', 'Microphone', 'Office supplies', 'Toothbrush', 'Helmet', 'Mirror', 'Skateboard', 'House', 'Person', 'Footwear', 'Vehicle', 'Wheel', 'Food', 'Building', 'Shelf', 'Car', 'Airplane', 'Plumbing fixture']",94,Pipefitters install a variety of pipes to move liquids and gasses.,Plumbers risk getting burned as they solder pipes.,"Most plumbers, pipefitters, and steamfitters learn their jobs through an apprenticeship.",11,8,11
Podiatrists,https://www.bls.gov/ooh/images/15424.jpg,https://www.bls.gov/ooh/images/2417.jpg,https://www.bls.gov/ooh/images/2419.jpg,https://www.bls.gov/ooh/images/3548.jpg,"['Animal', 'Human hand', 'Human ear', 'Human nose', 'Jacket', 'Clothing', 'Human mouth', 'Suit', 'Skirt', 'Shirt', 'Coat', 'Human face', 'Human head', 'Human leg', 'Dog', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Man', 'Glove', 'Food', 'Window', 'Carnivore', 'Sports uniform', 'Human body', 'Glasses', 'Handbag', 'Woman', 'Sculpture', 'Trousers', 'Human hair', 'Human foot']",39,Podiatrists treat injuries involving the lower extremities.,Patients with diabetes may develop foot problems that require the care of a podiatrist.,"Podiatrists listen to patients’ concerns about their feet, ankles, or lower legs.",7,14,12
"Police, Fire, and Ambulance Dispatchers",https://www.bls.gov/ooh/images/15665.jpg,https://www.bls.gov/ooh/images/2839.jpg,https://www.bls.gov/ooh/images/2841.jpg,https://www.bls.gov/ooh/images/3609.jpg,"['Office building', 'Human hand', 'Book', 'Human nose', 'Human ear', 'Television', 'Snack', 'Tire', 'Musical keyboard', 'Table', 'Clothing', 'Tableware', 'Desk', 'Suit', 'Chair', 'Shirt', 'Toy', 'Computer monitor', 'Human face', 'House', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Furniture', 'Vehicle', 'Medical equipment', 'Wheel', 'Mobile phone', 'Girl', 'Mammal', 'Boy', 'Fast food', 'Man', 'Tablet computer', 'Piano', 'Fork', 'Food', 'Home appliance', 'Window', 'Building', 'Guitar', 'Box', 'Picture frame', 'Human body', 'Land vehicle', 'Computer mouse', 'Woman', 'Calculator', 'Human foot', 'Computer keyboard', 'Car', 'Human hair', 'Laptop', 'Tree', 'Office supplies']",60,"Dispatchers monitor and track the status of police, fire, and ambulance units.","Dispatchers work in communication centers, often called public safety answering points (PSAPs).",Dispatchers must pass a typing test.,12,12,6
Police and Detectives,https://www.bls.gov/ooh/images/15749.jpg,https://www.bls.gov/ooh/images/2620.jpg,https://www.bls.gov/ooh/images/2621.jpg,https://www.bls.gov/ooh/images/2623.jpg,"['Sunglasses', 'Human hand', 'Human ear', 'Helmet', 'Tire', 'Jacket', 'Shorts', 'Clothing', 'Suit', 'Skateboard', 'Shirt', 'Toy', 'Coat', 'Luggage and bags', 'Weapon', 'Human face', 'Bicycle', 'Camera', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Human eye', 'Wheel', 'Vehicle', 'Furniture', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Hiking equipment', 'Man', 'Goggles', 'Van', 'Poster', 'Window', 'Home appliance', 'Aircraft', 'Motorcycle', 'Hat', 'Sports uniform', 'Auto part', 'Sports equipment', 'Land vehicle', 'Human body', 'Glasses', 'Rifle', 'Woman', 'Car', 'Trousers', 'Human hair', 'Microphone', 'Laptop', 'Airplane', 'Tree']",57,Police officers use computers to check license information.,Police and detectives regularly work at crime and accident scenes.,Police and detectives must use good judgment and have strong communication skills when gathering facts about a crime.,8,10,18
Political Scientists,https://www.bls.gov/ooh/images/15544.jpg,https://www.bls.gov/ooh/images/2068.jpg,https://www.bls.gov/ooh/images/2069.jpg,https://www.bls.gov/ooh/images/2070.jpg,"['Vase', 'Office building', 'Tie', 'Sunglasses', 'Human hand', 'Human ear', 'Human nose', 'Television', 'Book', 'Jacket', 'Couch', 'Table', 'Clothing', 'Tableware', 'Houseplant', 'Human mouth', 'Suit', 'Desk', 'Chair', 'Coat', 'Computer monitor', 'Human face', 'Flower', 'Human head', 'Musical instrument', 'Palm tree', 'Person', 'Footwear', 'Fashion accessory', 'Human arm', 'Human eye', 'Furniture', 'Flowerpot', 'Mammal', 'Girl', 'Pineapple', 'Man', 'Goggles', 'Home appliance', 'Human body', 'Kitchen appliance', 'Glasses', 'Plant', 'Land vehicle', 'Bookcase', 'Woman', 'Shelf', 'Car', 'Human hair', 'Laptop', 'Tree', 'Office supplies']",52,Political scientists often present their findings.,"Political scientists work in a variety of organizations that have a stake in policy, such as government, labor, and political organizations.",Political scientists learn to analyze quantitative and qualitative data.,6,21,9
Postal Service Workers,https://www.bls.gov/ooh/images/15667.jpg,https://www.bls.gov/ooh/images/2844.jpg,https://www.bls.gov/ooh/images/2845.jpg,https://www.bls.gov/ooh/images/2846.jpg,"['Animal', 'Office building', 'Human hand', 'Book', 'Human ear', 'Cupboard', 'Bus', 'Whiteboard', 'Door', 'Jacket', 'Tire', 'Table', 'Clothing', 'Billboard', 'Vehicle registration plate', 'Desk', 'Helicopter', 'Chair', 'Traffic light', 'Watch', 'Train', 'Penguin', 'Traffic sign', 'Human face', 'House', 'Cabinetry', 'Human leg', 'Human head', 'Person', 'Footwear', 'Human arm', 'Refrigerator', 'Fashion accessory', 'Boat', 'Furniture', 'Vehicle', 'Medical equipment', 'Wheel', 'Mobile phone', 'Mammal', 'Boy', 'Jeans', 'Tree', 'Man', 'Poster', 'Van', 'Window', 'Home appliance', 'Aircraft', 'Truck', 'Building', 'Motorcycle', 'Bed', 'Auto part', 'Kitchen appliance', 'Plant', 'Human body', 'Land vehicle', 'Bowling equipment', 'Drawer', 'Shelf', 'Car', 'Trousers', 'Human hair', 'Airplane', 'Filing cabinet', 'Office supplies']",67,Carriers deliver mail to homes and businesses.,"Although mail carriers work outdoors, sorters and processors typically work indoors.",Mail carriers must receive a passing grade on a road test.,7,11,11
Postsecondary Education Administrators,https://www.bls.gov/ooh/images/15592.jpg,https://www.bls.gov/ooh/images/1653.jpg,https://www.bls.gov/ooh/images/3635.jpg,https://www.bls.gov/ooh/images/1654.jpg,"['Office building', 'Human hand', 'Book', 'Human nose', 'Human ear', 'Television', 'Jacket', 'Lantern', 'Table', 'Clothing', 'Tableware', 'Houseplant', 'Desk', 'Suit', 'Human mouth', 'Coin', 'Balloon', 'Drink', 'Chair', 'Shirt', 'Coat', 'Human face', 'Curtain', 'House', 'Cabinetry', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Furniture', 'Wheel', 'Medical equipment', 'Vehicle', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Mobile phone', 'Man', 'Poster', 'Lamp', 'Food', 'Home appliance', 'Guitar', 'Pumpkin', 'Squash', 'Earrings', 'Bookcase', 'Plant', 'Human body', 'Kitchen appliance', 'Glasses', 'Land vehicle', 'Woman', 'Shelf', 'Sculpture', 'Car', 'Human hair', 'Microphone', 'Tree', 'Office supplies']",66,"Postsecondary education administrators assist students with a variety of tasks, such as registering for classes and completing admissions applications.","Postsecondary education administrators work in colleges, universities, community colleges, and technical and trade schools.","Postsecondary education administrators need to build good relationships with colleagues, students, and parents.",19,14,13
Postsecondary Teachers,https://www.bls.gov/ooh/images/15283.jpg,https://www.bls.gov/ooh/images/2163.jpg,https://www.bls.gov/ooh/images/2164.jpg,https://www.bls.gov/ooh/images/2166.jpg,"['Office building', 'Human hand', 'Book', 'Human nose', 'Television', 'Human ear', 'Tire', 'Jacket', 'Table', 'Clothing', 'Human mouth', 'Suit', 'Chair', 'Shirt', 'Toy', 'Coat', 'Computer monitor', 'Human face', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Scarf', 'Furniture', 'Vehicle', 'Drum', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Poster', 'Man', 'Food', 'Window', 'Guitar', 'Human body', 'Bookcase', 'Glasses', 'Woman', 'Shelf', 'Human hair', 'Laptop', 'Human foot']",49,"Professors may teach a wide variety of subjects, such as history, science, business, or music.","Most classes are held during the day, but some are held on nights and weekends.","Some institutions prefer to hire professors who have teaching experience, which can be gained by working as a graduate teaching assistant.",15,15,21
"Power Plant Operators, Distributors, and Dispatchers",https://www.bls.gov/ooh/images/15720.jpg,https://www.bls.gov/ooh/images/3116.jpg,https://www.bls.gov/ooh/images/3118.jpg,https://www.bls.gov/ooh/images/3119.jpg,"['Office building', 'Tool', 'Sunglasses', 'Human hand', 'Book', 'Television', 'Helmet', 'Human nose', 'Tire', 'Jacket', 'Table', 'Clothing', 'Desk', 'Suit', 'Human mouth', 'Cassette deck', 'Drink', 'Chair', 'Shirt', 'Toy', 'Coat', 'Computer monitor', 'Weapon', 'Human face', 'Stairs', 'Bicycle', 'Flower', 'House', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Scarf', 'Furniture', 'Wheel', 'Medical equipment', 'Vehicle', 'Mammal', 'Hiking equipment', 'Girl', 'Football helmet', 'Boy', 'Goggles', 'Man', 'Tablet computer', 'Jeans', 'Poster', 'Window', 'Home appliance', 'Bicycle wheel', 'Guitar', 'Building', 'Bicycle helmet', 'Hat', 'Sports uniform', 'Sports equipment', 'Auto part', 'Human body', 'Kitchen appliance', 'Glasses', 'Land vehicle', 'Bottle', 'Bowling equipment', 'Woman', 'Rifle', 'Shelf', 'Computer keyboard', 'Car', 'Human hair', 'Laptop', 'Airplane', 'Office supplies']",76,Operators may have to operate or repair complex machinery.,Power plant operators must monitor plant equipment and take action if problems arise.,Most power plant operators work at a control station.,9,13,9
Preschool and Childcare Center Directors,https://www.bls.gov/ooh/images/15594.jpg,https://www.bls.gov/ooh/images/1641.jpg,https://www.bls.gov/ooh/images/1642.jpg,https://www.bls.gov/ooh/images/1644.jpg,"['Flag', 'Human hand', 'Human ear', 'Human nose', 'Table', 'Clothing', 'Tableware', 'Houseplant', 'Balloon', 'Human mouth', 'Drink', 'Chair', 'Toy', 'Human face', 'Human head', 'Person', 'Doll', 'Fashion accessory', 'Human arm', 'Dress', 'Human eye', 'Footwear', 'Furniture', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Candy', 'Poster', 'Man', 'Sports equipment', 'Human body', 'Plant', 'Glasses', 'Bottle', 'Bowling equipment', 'Woman', 'Human hair', 'Microphone', 'Tree', 'Ball']",41,Preschool and childcare center directors assist staff with caring for and teaching children.,Most preschool and childcare center directors work in childcare facilities.,"Preschool and childcare center directors need to be able to interact with children, staff, and parents.",13,10,16
Preschool Teachers,https://www.bls.gov/ooh/images/15285.jpg,https://www.bls.gov/ooh/images/15286.jpg,https://www.bls.gov/ooh/images/2170.jpg,https://www.bls.gov/ooh/images/2171.jpg,"['Office building', 'Human hand', 'Book', 'Human nose', 'Couch', 'Table', 'Clothing', 'Tableware', 'Houseplant', 'Human mouth', 'Desk', 'Chair', 'Toy', 'Plate', 'Human face', 'Flower', 'House', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Human eye', 'Furniture', 'Flowerpot', 'Medical equipment', 'Drum', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Man', 'Food', 'Office supplies', 'Sports equipment', 'Human body', 'Bookcase', 'Glasses', 'Plant', 'Woman', 'Shelf', 'Trousers', 'Human hair', 'Vegetable', 'Tree', 'Human foot']",48,Preschool teachers use play to teach children about the world.,"Preschool teachers usually work in public schools, private schools, and childcare centers that have preschool programs.",Preschool teachers must plan lessons that engage young students and must also adapt their lessons to suit different learning styles.,10,16,20
Private Detectives and Investigators,https://www.bls.gov/ooh/images/15751.jpg,https://www.bls.gov/ooh/images/2626.jpg,https://www.bls.gov/ooh/images/2627.jpg,https://www.bls.gov/ooh/images/2628.jpg,"['Human hand', 'Book', 'Human ear', 'Human nose', 'Jacket', 'Table', 'Clothing', 'Desk', 'Suit', 'Human mouth', 'Chair', 'Shirt', 'Coat', 'Luggage and bags', 'Computer monitor', 'Backpack', 'Human face', 'Flower', 'Cabinetry', 'Camera', 'Human head', 'Human leg', 'Rose', 'Person', 'Human arm', 'Fashion accessory', 'Scarf', 'Human eye', 'Furniture', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Mobile phone', 'Jeans', 'Man', 'Countertop', 'Glove', 'Window', 'Box', 'Human body', 'Plant', 'Glasses', 'Woman', 'Shelf', 'Shotgun', 'Trousers', 'Human hair', 'Microphone', 'Laptop', 'Tree', 'Office supplies']",52,Private detectives and investigators must properly collect and document evidence so that it may be used in a court of law.,Many private detectives and investigators spend time away from their desks while conducting surveillance in the field.,"Although most learn on the job, many private detectives and investigators have a law enforcement background.",21,17,16
Probation Officers and Correctional Treatment Specialists,https://www.bls.gov/ooh/images/15178.jpg,https://www.bls.gov/ooh/images/2134.jpg,https://www.bls.gov/ooh/images/2136.jpg,https://www.bls.gov/ooh/images/2137.jpg,"['Flag', 'Office building', 'Tie', 'Human hand', 'Human ear', 'Human nose', 'Snack', 'Television', 'Book', 'Helmet', 'Jacket', 'Mirror', 'Table', 'Clothing', 'Desk', 'Suit', 'Human mouth', 'Chair', 'Shirt', 'Coat', 'Weapon', 'Human face', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Dress', 'Swimming pool', 'Human eye', 'Fashion accessory', 'Furniture', 'Vehicle', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Watercraft', 'Fast food', 'Man', 'Food', 'Glove', 'Window', 'Baked goods', 'Sports uniform', 'Picture frame', 'Human body', 'Glasses', 'Woman', 'Rifle', 'Shotgun', 'Human foot', 'Car', 'Human hair', 'Laptop', 'Office supplies']",57,Correctional treatment specialists counsel law offenders and create rehabilitation plans for them to follow when they are no longer in prison.,Extensive travel and paperwork can also contribute to more hours of work.,"Probation officers may go on to specialize in a certain type of casework, such as working with juvenile law offenders.",21,12,20
Producers and Directors,https://www.bls.gov/ooh/images/15304.jpg,https://www.bls.gov/ooh/images/2290.jpg,https://www.bls.gov/ooh/images/2292.jpg,https://www.bls.gov/ooh/images/3586.jpg,"['Human hand', 'Book', 'Human nose', 'Helmet', 'Swimwear', 'Door', 'Jacket', 'Couch', 'Table', 'Clothing', 'Human mouth', 'Suit', 'Chair', 'Shirt', 'Coat', 'Human face', 'Cabinetry', 'Human beard', 'Human head', 'Human leg', 'Musical instrument', 'Banjo', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Furniture', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Poster', 'Man', 'Window', 'Office supplies', 'Guitar', 'Sports uniform', 'Picture frame', 'Sports equipment', 'Human body', 'Glasses', 'Woman', 'Shelf', 'Trousers', 'Human hair', 'Microphone', 'Ball']",49,Stage directors make sure the cast and crew give a consistently strong live performance.,Producers and directors audition and select cast members.,Producers and directors ensure that a project stays on schedule and within budget.,14,8,13
"Property, Real Estate, and Community Association Managers",https://www.bls.gov/ooh/images/15596.jpg,https://www.bls.gov/ooh/images/1688.jpg,https://www.bls.gov/ooh/images/1689.jpg,https://www.bls.gov/ooh/images/1690.jpg,"['Tie', 'Human hand', 'Human ear', 'Human nose', 'Jacket', 'Couch', 'Table', 'Clothing', 'Tableware', 'Human mouth', 'Suit', 'Desk', 'Watch', 'Shirt', 'Coat', 'Plate', 'Human face', 'Human head', 'Human leg', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Man', 'Sports equipment', 'Auto part', 'Human body', 'Plant', 'Glasses', 'Woman', 'Human hair', 'Drum', 'Tree']",41,Onsite managers often show apartments.,"Property, real estate, and community association managers must interact with clients every day.",A high school diploma combined with several years of related work experience is typically required for entry-level positions.,5,13,18
